tag,solver,budget_s,n_slips,seed,n_frag,n_arcs,solve_s,status,objective,bound,gap,n_components,max_component,obj_vs_ref,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
scale,monolithic,240.0,150,0,429,476,1.0830638408660889,OPTIMAL,1882.969,1882.969,0.0,,,,0.6836734693877551,0.7243243243243244,0.7034120734908136,0.41732283464566927,0.4568764568764569,196,185,0.6636565842981996,0.9183673469387755,16,0.08163265306122447
scale,monolithic,1500.0,150,0,429,476,1.5415961742401123,OPTIMAL,1882.969,1882.969,0.0,,,0.0,0.6836734693877551,0.7243243243243244,0.7034120734908136,0.41732283464566927,0.4568764568764569,196,185,0.6636565842981996,0.9183673469387755,16,0.08163265306122447
scale,decomposed,1500.0,150,0,429,476,1.169034719467163,OPTIMAL,1882.9689999999998,1882.9689999999998,0.0,51.0,346.0,-2.2737367544323206e-13,0.6836734693877551,0.7243243243243244,0.7034120734908136,0.41732283464566927,0.4568764568764569,196,185,0.6636565842981996,0.9183673469387755,16,0.08163265306122447
scale,monolithic,240.0,150,1,435,550,7.0653932094573975,OPTIMAL,1941.592,1941.592,0.0,,,,0.6097560975609756,0.6868131868131868,0.6459948320413438,0.3046875,0.33793103448275863,205,182,0.6194429285807808,0.8926829268292683,22,0.10731707317073169
scale,monolithic,1500.0,150,1,435,550,4.62923002243042,OPTIMAL,1941.592,1941.592,0.0,,,0.0,0.6097560975609756,0.6868131868131868,0.6459948320413438,0.3046875,0.33793103448275863,205,182,0.6194429285807808,0.8926829268292683,22,0.10731707317073169
scale,decomposed,1500.0,150,1,435,550,10.353482484817505,OPTIMAL,1941.5919999999994,1941.5919999999994,0.0,44.0,353.0,-6.821210263296962e-13,0.6097560975609756,0.6868131868131868,0.6459948320413438,0.3046875,0.33793103448275863,205,182,0.6194429285807808,0.8926829268292683,22,0.10731707317073169
scale,monolithic,240.0,150,2,412,447,1.0401830673217773,OPTIMAL,1814.939,1814.939,0.0,,,,0.7037037037037037,0.76,0.7307692307692308,0.4485981308411215,0.47572815533980584,189,175,0.7253589476617601,0.9470899470899471,10,0.05291005291005291
scale,monolithic,1500.0,150,2,412,447,0.8889453411102295,OPTIMAL,1814.939,1814.939,0.0,,,0.0,0.7037037037037037,0.76,0.7307692307692308,0.4485981308411215,0.47572815533980584,189,175,0.7253589476617601,0.9470899470899471,10,0.05291005291005291
scale,decomposed,1500.0,150,2,412,447,1.1463909149169922,OPTIMAL,1814.9390000000003,1814.9390000000003,0.0,74.0,307.0,2.2737367544323206e-13,0.7037037037037037,0.76,0.7307692307692308,0.4485981308411215,0.47572815533980584,189,175,0.7253589476617601,0.9470899470899471,10,0.05291005291005291
scale,monolithic,240.0,400,0,1200,1616,230.65093421936035,OPTIMAL,5368.939,5368.939,0.0,,,,0.6483126110124334,0.7142857142857143,0.6797020484171322,0.34662576687116564,0.3875,563,511,0.6401539293669452,0.9040852575488455,54,0.0959147424511545
scale,monolithic,1500.0,400,0,1200,1616,696.0754089355469,OPTIMAL,5368.939,5368.939,0.0,,,0.0,0.6483126110124334,0.7142857142857143,0.6797020484171322,0.34662576687116564,0.3875,563,511,0.6401539293669452,0.9040852575488455,54,0.0959147424511545
scale,decomposed,1500.0,400,0,1200,1616,303.8104283809662,OPTIMAL,5368.939,5368.939,0.0,97.0,1060.0,0.0,0.6483126110124334,0.7142857142857143,0.6797020484171322,0.34662576687116564,0.3875,563,511,0.6401539293669452,0.9040852575488455,54,0.0959147424511545
scale,monolithic,240.0,400,1,1148,1510,74.17934274673462,OPTIMAL,5039.757,5039.757,0.0,,,,0.6266924564796905,0.6937901498929336,0.6585365853658536,0.3385093167701863,0.3893728222996516,517,467,0.622331588231971,0.9090909090909091,47,0.09090909090909094
scale,monolithic,1500.0,400,1,1148,1510,73.7059543132782,OPTIMAL,5039.757,5039.757,0.0,,,0.0,0.6266924564796905,0.6937901498929336,0.6585365853658536,0.3385093167701863,0.3893728222996516,517,467,0.622331588231971,0.9090909090909091,47,0.09090909090909094
scale,decomposed,1500.0,400,1,1148,1510,75.13869738578796,OPTIMAL,5039.757000000001,5039.757000000001,0.0,136.0,960.0,1.8189894035458565e-12,0.6266924564796905,0.6937901498929336,0.6585365853658536,0.3385093167701863,0.3893728222996516,517,467,0.622331588231971,0.9090909090909091,47,0.09090909090909094
scale,monolithic,240.0,400,2,1105,1453,86.87887120246887,OPTIMAL,4831.824,4831.824,0.0,,,,0.6754032258064516,0.7330415754923414,0.7030430220356769,0.4275618374558304,0.4497737556561086,496,457,0.6728073385542462,0.9173387096774194,41,0.08266129032258063
scale,monolithic,1500.0,400,2,1105,1453,69.48036050796509,OPTIMAL,4831.824,4831.824,0.0,,,0.0,0.6754032258064516,0.7330415754923414,0.7030430220356769,0.4275618374558304,0.4497737556561086,496,457,0.6728073385542462,0.9173387096774194,41,0.08266129032258063
